"month","region","revenue"
"2016-11-01","East","22982.15"
"2016-11-01","South","15596.55"
"2016-11-01","West","23922.99"
"2016-12-01","Central","25335.34"
"2016-12-01","East","27645.20"
"2016-12-01","South","10897.01"
"2016-12-01","West","33121.52"
"2017-01-01","Central","21690.64"
"2017-01-01","East","5383.30"
"2017-01-01","South","4815.59"
"2017-01-01","West","12081.84"
"2017-02-01","Central","3334.80"
"2017-02-01","East","4968.52"
"2017-02-01","South","2182.87"
"2017-02-01","West","9814.93"
"2017-03-01","Central","15504.59"
"2017-03-01","East","7699.95"
"2017-03-01","South","6643.71"
"2017-03-01","West","29024.10"
"2017-04-01","Central","3383.14"
"2017-04-01","East","10230.90"
"2017-04-01","South","9447.75"
"2017-04-01","West","13459.73"
"2017-05-01","Central","11588.85"
"2017-05-01","East","6119.36"
"2017-05-01","South","10943.74"
"2017-05-01","West","15609.13"
"2017-06-01","Central","12966.76"
"2017-06-01","East","15161.23"
"2017-06-01","South","8933.92"
"2017-06-01","West","15919.82"
"2017-07-01","Central","8872.93"
"2017-07-01","East","12321.85"
"2017-07-01","South","3302.09"
"2017-07-01","West","20767.56"
"2017-08-01","Central","6252.97"
"2017-08-01","East","20758.44"
"2017-08-01","South","10371.54"
"2017-08-01","West","25737.90"
"2017-09-01","Central","17342.99"
"2017-09-01","East","32416.14"
"2017-09-01","South","10200.52"
"2017-09-01","West","27907.01"
"2017-10-01","Central","12122.34"
"2017-10-01","East","32305.22"
"2017-10-01","South","12136.97"
"2017-10-01","West","21212.43"
"2017-11-01","Central","15155.00"
"2017-11-01","East","45633.62"
"2017-11-01","South","28717.40"
"2017-11-01","West","28941.79"
"2017-12-01","Central","18883.05"
"2017-12-01","East","20084.42"
"2017-12-01","South","15209.72"
"2017-12-01","West","29652.12"
